,title,artist,year,sample,genre,style
170,True to the Game,Ice Cube,1991,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
171,Louder,Oh No,2009,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
172,Ragtime,Evidence,2003,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
173,Sight,90sFlav,2018,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
174,Falling Down,Evidence and Rahki,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
175,1979,Jehst,2002,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
176,It's Been a Long Time (Suave House Mix),Rakim,1997,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
177,Coolin' in Cali,7A3,1988,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
178,G Style,Ice-T,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
179,Confused,Diamond D and The Psychotic Neurotics feat. Jasmine and Michelle Sweeting,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
180,Bis Hier Und Noch Weiter,Adel Tawil feat. KC Rebell and Summer Cem,2017,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Vocals / Lyrics
181,Train of Thought,Mic Geronimo,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
182,Beacon N Blender,Da Mafia 6ix,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
183,Who Got My Back?,Trends of Culture,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
184,Trouble Man,Inspectah Deck,1999,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
185,Living in the World of Hip Hop,MC Shan,1987,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
186,Black Unicorn,2 Chainz feat. Chrisette Michele and Sunni Patterson,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
187,Middle of the Summer,Meek Mill and Mel Love,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
